prefecture_num,prefecture,year,month,bankruptcy
27,大阪府,2014,10,111
28,兵庫県,2014,10,42
29,奈良県,2014,10,7
30,和歌山県,2014,10,9
31,鳥取県,2014,10,0
32,島根県,2014,10,1
33,岡山県,2014,10,14
34,広島県,2014,10,25
35,山口県,2014,10,8
36,徳島県,2014,10,2
37,香川県,2014,10,5
38,愛媛県,2014,10,7
39,高知県,2014,10,3
40,福岡県,2014,10,36
41,佐賀県,2014,10,4
42,長崎県,2014,10,10
43,熊本県,2014,10,6
44,大分県,2014,10,3
45,宮崎県,2014,10,5
46,鹿児島県,2014,10,5
47,沖縄県,2014,10,11
1,北海道,2014,11,14
2,青森県,2014,11,6
3,岩手県,2014,11,7
4,宮城県,2014,11,7
5,秋田県,2014,11,5
6,山形県,2014,11,9
7,福島県,2014,11,4
8,茨城県,2014,11,13
9,栃木県,2014,11,9
10,群馬県,2014,11,8
11,埼玉県,2014,11,26
12,千葉県,2014,11,22
13,東京都,2014,11,142
14,神奈川県,2014,11,44
15,新潟県,2014,11,8
19,山梨県,2014,11,4
20,長野県,2014,11,7
21,岐阜県,2014,11,11
22,静岡県,2014,11,24
23,愛知県,2014,11,46
24,三重県,2014,11,6
16,富山県,2014,11,6
17,石川県,2014,11,10
18,福井県,2014,11,4
25,滋賀県,2014,11,11
26,京都府,2014,11,24
27,大阪府,2014,11,103
28,兵庫県,2014,11,39
29,奈良県,2014,11,7
30,和歌山県,2014,11,5
31,鳥取県,2014,11,0
32,島根県,2014,11,3
33,岡山県,2014,11,9
34,広島県,2014,11,14
35,山口県,2014,11,9
36,徳島県,2014,11,1
37,香川県,2014,11,3
38,愛媛県,2014,11,9
39,高知県,2014,11,2
40,福岡県,2014,11,24
41,佐賀県,2014,11,4
42,長崎県,2014,11,3
43,熊本県,2014,11,6
44,大分県,2014,11,1
45,宮崎県,2014,11,2
46,鹿児島県,2014,11,7
47,沖縄県,2014,11,8
1,北海道,2014,12,23
2,青森県,2014,12,5
3,岩手県,2014,12,1
4,宮城県,2014,12,5
5,秋田県,2014,12,3
6,山形県,2014,12,3
7,福島県,2014,12,1
8,茨城県,2014,12,14
9,栃木県,2014,12,16
10,群馬県,2014,12,9
11,埼玉県,2014,12,23
12,千葉県,2014,12,12
13,東京都,2014,12,148
14,神奈川県,2014,12,39
15,新潟県,2014,12,5
19,山梨県,2014,12,4
20,長野県,2014,12,6
21,岐阜県,2014,12,19
22,静岡県,2014,12,22
23,愛知県,2014,12,40
24,三重県,2014,12,3
16,富山県,2014,12,2
17,石川県,2014,12,6
18,福井県,2014,12,3
25,滋賀県,2014,12,8
26,京都府,2014,12,18
27,大阪府,2014,12,96
28,兵庫県,2014,12,46
29,奈良県,2014,12,7
30,和歌山県,2014,12,8
31,鳥取県,2014,12,0
32,島根県,2014,12,3
33,岡山県,2014,12,3
34,広島県,2014,12,12
35,山口県,2014,12,6
36,徳島県,2014,12,3
37,香川県,2014,12,3
38,愛媛県,2014,12,2
39,高知県,2014,12,4
40,福岡県,2014,12,28
41,佐賀県,2014,12,2
42,長崎県,2014,12,4
43,熊本県,2014,12,4
44,大分県,2014,12,4
45,宮崎県,2014,12,2
46,鹿児島県,2014,12,2
47,沖縄県,2014,12,9
1,北海道,2015,1,23
2,青森県,2015,1,4
3,岩手県,2015,1,4
4,宮城県,2015,1,6
5,秋田県,2015,1,5
6,山形県,2015,1,3
7,福島県,2015,1,3
8,茨城県,2015,1,11
9,栃木県,2015,1,21
10,群馬県,2015,1,11
11,埼玉県,2015,1,35
12,千葉県,2015,1,18
13,東京都,2015,1,136
14,神奈川県,2015,1,49
15,新潟県,2015,1,6
19,山梨県,2015,1,2
20,長野県,2015,1,7
21,岐阜県,2015,1,10
22,静岡県,2015,1,25
23,愛知県,2015,1,35
24,三重県,2015,1,4
16,富山県,2015,1,6
17,石川県,2015,1,7
18,福井県,2015,1,5
25,滋賀県,2015,1,5
26,京都府,2015,1,13
27,大阪府,2015,1,96
28,兵庫県,2015,1,33
29,奈良県,2015,1,8
30,和歌山県,2015,1,4
31,鳥取県,2015,1,1
32,島根県,2015,1,4
33,岡山県,2015,1,8
34,広島県,2015,1,12
35,山口県,2015,1,10
36,徳島県,2015,1,4
37,香川県,2015,1,10
38,愛媛県,2015,1,2
39,高知県,2015,1,3
40,福岡県,2015,1,34
41,佐賀県,2015,1,3
42,長崎県,2015,1,6
43,熊本県,2015,1,6
44,大分県,2015,1,7
45,宮崎県,2015,1,1
46,鹿児島県,2015,1,8
47,沖縄県,2015,1,7
1,北海道,2015,2,20
2,青森県,2015,2,5
3,岩手県,2015,2,3
4,宮城県,2015,2,4
5,秋田県,2015,2,4
6,山形県,2015,2,7
7,福島県,2015,2,1
8,茨城県,2015,2,17
9,栃木県,2015,2,8
10,群馬県,2015,2,5
11,埼玉県,2015,2,31
12,千葉県,2015,2,13
13,東京都,2015,2,127
14,神奈川県,2015,2,40
15,新潟県,2015,2,11
19,山梨県,2015,2,5
20,長野県,2015,2,8
21,岐阜県,2015,2,10
22,静岡県,2015,2,18
23,愛知県,2015,2,37
24,三重県,2015,2,9
16,富山県,2015,2,3
17,石川県,2015,2,5
18,福井県,2015,2,8
25,滋賀県,2015,2,5
26,京都府,2015,2,16
27,大阪府,2015,2,103
28,兵庫県,2015,2,40
29,奈良県,2015,2,5
30,和歌山県,2015,2,3
31,鳥取県,2015,2,3
32,島根県,2015,2,4
33,岡山県,2015,2,7
34,広島県,2015,2,25
35,山口県,2015,2,3
36,徳島県,2015,2,7
37,香川県,2015,2,3
38,愛媛県,2015,2,4
39,高知県,2015,2,4
40,福岡県,2015,2,30
41,佐賀県,2015,2,3
42,長崎県,2015,2,4
43,熊本県,2015,2,5
44,大分県,2015,2,7
45,宮崎県,2015,2,2
46,鹿児島県,2015,2,4
47,沖縄県,2015,2,6
1,北海道,2015,3,39
2,青森県,2015,3,6
3,岩手県,2015,3,6
4,宮城県,2015,3,14
5,秋田県,2015,3,5
6,山形県,2015,3,9
7,福島県,2015,3,3
8,茨城県,2015,3,14
9,栃木県,2015,3,18
10,群馬県,2015,3,8
11,埼玉県,2015,3,30
12,千葉県,2015,3,30
13,東京都,2015,3,152
14,神奈川県,2015,3,36
15,新潟県,2015,3,8
19,山梨県,2015,3,5
20,長野県,2015,3,6
21,岐阜県,2015,3,17
22,静岡県,2015,3,23
23,愛知県,2015,3,51
24,三重県,2015,3,10
16,富山県,2015,3,5
17,石川県,2015,3,7
18,福井県,2015,3,4
