prefecture_num,prefecture,unemployment201401,unemployment201402,unemployment201403,unemployment201404,unemployment201405,unemployment201406,unemployment201407,unemployment201408,unemployment201409,unemployment201410,unemployment201411,unemployment201412,unemployment201501,unemployment201502,unemployment201503,unemployment201504,unemployment201505,unemployment201506,unemployment201507,unemployment201508,unemployment201509,unemployment201510,unemployment201511,unemployment201512,unemployment201601,unemployment201602,unemployment201603,unemployment201604,unemployment201605,unemployment201606,unemployment201607,unemployment201608,unemployment201609,unemployment201610,unemployment201611,unemployment201612,unemployment201701,unemployment201702,unemployment201703,unemployment201704,unemployment201705,unemployment201706,unemployment201707,unemployment201708,unemployment201709,unemployment201710,unemployment201711,unemployment201712,unemployment201801,unemployment201802,unemployment201803,unemployment201804,unemployment201805,unemployment201806,unemployment201807,unemployment201808,unemployment201809,unemployment201810,unemployment201811,unemployment201812,unemployment201901,unemployment201902,unemployment201903,unemployment201904,unemployment201905,unemployment201906,unemployment201907,unemployment201908,unemployment201909,unemployment201910,unemployment201911,unemployment201912,unemployment202001,unemployment202002,unemployment202003,unemployment202004,unemployment202005,unemployment202006,unemployment202007,unemployment202008,unemployment202009,unemployment202010,unemployment202011,unemployment202012,unemployment202101,unemployment202102,unemployment202103
11,çÈã åß,138,138,138,145,145,145,130,130,130,122,122,122,128,128,128,134,134,134,120,120,120,114,114,114,124,124,124,130,130,130,119,119,119,115,115,115,116,116,116,122,122,122,109,109,109,103,103,103,105,105,105,107,107,107,94,94,94,89,89,89,97,97,97,101,101,101,89,89,89,82,82,82,97,97,97,121,121,121,129,129,129,126,126,126,124,124,124
12,êÁótåß,108,108,108,112,112,112,109,109,109,101,101,101,100,100,100,105,105,105,105,105,105,94,94,94,96,96,96,99,99,99,101,101,101,93,93,93,89,89,89,94,94,94,93,93,93,81,81,81,77,77,77,80,80,80,81,81,81,70,70,70,71,71,71,75,75,75,77,77,77,67,67,67,70,70,70,93,93,93,105,105,105,100,100,100,92,92,92
13,ìåãûìs,275,275,275,292,292,292,302,302,302,287,287,287,286,286,286,277,277,277,255,255,255,289,289,289,268,268,268,268,268,268,211,211,211,258,258,258,235,235,235,226,226,226,213,213,213,230,230,230,218,218,218,236,236,236,198,198,198,190,190,190,193,193,193,200,200,200,182,182,182,198,198,198,213,213,213,271,271,271,291,291,291,255,255,255,229,229,229
14,ê_ìﬁêÏåß,173,173,173,164,164,164,171,171,171,151,151,151,161,161,161,171,171,171,164,164,164,134,134,134,155,155,155,151,151,151,167,167,167,144,144,144,136,136,136,163,163,163,140,140,140,108,108,108,115,115,115,134,134,134,118,118,118,109,109,109,117,117,117,122,122,122,109,109,109,91,91,91,109,109,109,161,161,161,176,176,176,147,147,147,126,126,126
15,êVäÉåß,42,42,42,40,40,40,38,38,38,36,36,36,37,37,37,36,36,36,33,33,33,34,34,34,37,37,37,35,35,35,32,32,32,31,31,31,33,33,33,33,33,33,30,30,30,27,27,27,28,28,28,26,26,26,23,23,23,24,24,24,26,26,26,26,26,26,24,24,24,24,24,24,27,27,27,27,27,27,25,25,25,29,29,29,31,31,31
16,ïxéRåß,16,16,16,17,17,17,14,14,14,15,15,15,14,14,14,15,15,15,13,13,13,13,13,13,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,8,8,8,10,10,10,10,10,10,11,11,11,10,10,10,12,12,12,12,12,12
17,êŒêÏåß,19,19,19,18,18,18,18,18,18,16,16,16,16,16,16,15,15,15,14,14,14,13,13,13,15,15,15,14,14,14,13,13,13,12,12,12,13,13,13,12,12,12,12,12,12,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,10,10,10,9,9,9,10,10,10,11,11,11,12,12,12,12,12,12,13,13,13
18,ïüà‰åß,10,10,10,9,9,9,11,11,11,9,9,9,8,8,8,9,9,9,8,8,8,8,8,8,9,9,9,8,8,8,10,10,10,6,6,6,7,7,7,9,9,9,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8
19,éRóúåß,13,13,13,14,14,14,12,12,12,13,13,13,13,13,13,14,14,14,11,11,11,11,11,11,11,11,11,12,12,12,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,9,9,9,8,8,8,9,9,9,7,7,7,10,10,10,8,8,8,11,11,11,9,9,9,8,8,8,6,6,6,9,9,9,8,8,8,9,9,9,9,9,9
20,í∑ñÏåß,36,36,36,34,34,34,30,30,30,31,31,31,35,35,35,33,33,33,28,28,28,30,30,30,32,32,32,31,31,31,23,23,23,26,26,26,26,26,26,24,24,24,20,20,20,21,21,21,21,21,21,20,20,20,17,17,17,21,21,21,24,24,24,25,25,25,19,19,19,21,21,21,24,24,24,22,22,22,24,24,24,26,26,26,29,29,29
21,äÚïååß,29,29,29,30,30,30,28,28,28,24,24,24,24,24,24,27,27,27,28,28,28,24,24,24,25,25,25,25,25,25,24,24,24,22,22,22,23,23,23,24,24,24,23,23,23,18,18,18,17,17,17,17,17,17,16,16,16,12,12,12,13,13,13,16,16,16,17,17,17,14,14,14,14,14,14,16,16,16,21,21,21,18,18,18,19,19,19
