ダウンロードした時刻：2021/05/19 13:45:31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Nov,2017,11,18,10.1,15.1,6,23.7,1.2,282,0,13.5,0,58,0,125.8,0,41,0,81,1018
17-Dec,2017,12,18,4.6,8.1,1.9,14.4,0,376,0,9,0,48.5,0,64.3,0,21,0,85,1018.1
18-Jan,2018,1,18,2,5.3,-0.6,12,-4.5,340.5,0,5.5,0,40,0,46.9,0,15,0,88,1016.4
18-Feb,2018,2,18,1.7,5.6,-1.6,11.7,-5.1,267,0,7.5,0,61.5,0,92.7,0,31,0,85,1018
18-Mar,2018,3,18,8.6,14.6,3.2,23.8,-1.3,199,0,9,0,38,0,191.6,0,52,0,70,1017
18-Apr,2018,4,18,14.5,20.2,9.6,29.7,2.7,212,0,10,0,43.5,0,174.2,0,45,0,71,1013.8
18-May,2018,5,18,18.6,23.7,13.7,30.5,6.6,252.5,0,14.5,0,41.5,0,177.1,0,41,0,69,1010.3
18-Jun,2018,6,18,22.6,27.6,18.2,33.8,12.6,92,0,14,0,28,0,181.3,0,42,0,73,1007.2
18-Jul,2018,7,18,28.7,33.7,24.6,37.7,21.6,257.5,0,22,0,106.5,0,270.6,0,61,0,72,1007.8
18-Aug,2018,8,18,28.6,33.6,24.5,37.6,16,95,0,20.5,0,33,0,232.1,0,56,0,70,1007
18-Sep,2018,9,18,22.5,26.8,19.3,33.1,14.2,509.5,0,21,0,84,0,102.8,0,28,0,82,1010.6
18-Oct,2018,10,18,17.4,22.5,13.2,31.7,8.5,91.5,0,16.5,0,22,0,168,0,48,0,78,1014.9
18-Nov,2018,11,18,12.2,17.4,8.1,24.6,4.1,78.5,0,7,0,17.5,0,149.8,0,49,0,81,1019.2
18-Dec,2018,12,18,6.6,10.3,3.3,23.3,-1,237,0,8.5,0,26.5,0,57.3,0,19,0,86,1020
19-Jan,2019,1,18,3.7,7.7,0.7,11.4,-2,190,0,7,0,23.5,0,77.3,0,25,0,83,1018.6
19-Feb,2019,2,18,5.3,9.8,1.7,15.6,-2,73,0,4.5,0,12,0,89.8,0,30,0,78,1019
19-Mar,2019,3,18,8.4,14,3.6,20.8,-1.4,126,0,7.5,0,22,0,136,0,37,0,72,1013.4
19-Apr,2019,4,18,12,17,7,26.7,1,143,0,8,0,31.5,0,165.1,0,42,0,70,1012.7
19-May,2019,5,18,19.3,25.6,13.4,34.5,5.5,99.5,0,14,0,40.5,0,289.9,0,67,0,60,1011.2
19-Jun,2019,6,18,22,26.5,18.4,32.7,14.5,221,0,28.5,0,48.5,0,156.1,0,36,0,76,1005.4
19-Jul,2019,7,18,25.7,29.9,22.8,35.8,20.6,195.5,0,39,0,78,0,108.1,0,24,0,79,1006.5
19-Aug,2019,8,18,28.2,33,24.6,37.3,19.8,207.5,0,23.5,0,49,0,207.3,0,50,0,76,1006.2
19-Sep,2019,9,18,24.8,29.8,21,35.9,14.6,62,0,8.5,0,15,0,170.9,0,46,0,75,1013
19-Oct,2019,10,18,18.5,22.8,14.9,30.6,8.9,248,0,36,0,42,0,127.5,0,37,0,82,1014.5
19-Nov,2019,11,18,11.5,16.9,6.8,22.3,0.7,80.5,0,10,0,32,0,153,0,50,0,76,1018.5
19-Dec,2019,12,18,7.5,12,3.6,16.7,-0.7,205.5,0,6,0,32.5,0,96.1,0,32,0,81,1019.9
20-Jan,2020,1,18,6.4,10,3.4,15.7,-0.6,276.5,0,10,0,33.5,0,68.8,0,22,0,82,1017
20-Feb,2020,2,18,5.9,10.4,2.2,16.4,-2.9,138,0,6.5,0,33.5,0,84.6,0,27,0,80,1019.9
20-Mar,2020,3,18,8.8,14.1,4.1,23.1,-1.1,154,0,7,0,25,0,156.6,0,42,0,73,1014.1
20-Apr,2020,4,18,11.2,16.8,6.3,25.6,2.9,170.5,0,11.5,0,38,0,180.8,0,46,0,69,1013
20-May,2020,5,18,18.7,24.3,14.2,30.1,8.7,82.5,0,20.5,0,22,0,177.9,0,41,0,71,1009.7
20-Jun,2020,6,18,23.5,28.4,19.6,33.4,15.8,298,0,36.5,0,103.5,0,196.2,0,45,0,75,1005.7
20-Jul,2020,7,18,24.5,28.5,22,33.9,18.8,395.5,0,22,0,43.5,0,62.2,0,14,0,85,1006.7
20-Aug,2020,8,18,29,34,24.9,37.3,21.9,122,0,45,0,49.5,0,244.4,0,58,0,74,1009.3
20-Sep,2020,9,18,24.6,29.4,21,37.7,14.9,263.5,0,55,0,56.5,0,154.2,0,41,0,77,1009.6
20-Oct,2020,10,18,16.7,21.9,12.6,28,5.2,101,0,7,0,45,0,156.5,0,45,0,78,1015.9
20-Nov,2020,11,18,12.5,17.8,7.9,26.3,3.9,145,0,8,0,32.5,0,145.3,0,47,0,78,1020.1
20-Dec,2020,12,18,5.9,9.7,3.1,15.7,-0.9,385,0,7,0,47.5,0,67.8,0,23,0,87,1018.1
21-Jan,2021,1,18,2.5,5.9,0.2,13.5,-3.2,410,0,9,0,81,0,66.1,0,21,0,89,1018
21-Feb,2021,2,18,5.4,10.3,1.3,20.4,-2.1,201.5,0,7.5,0,52.5,0,115.3,0,38,0,77,1016.7
21-Mar,2021,3,18,9.8,15.4,4.6,22.2,-0.2,162,0,10.5,0,39.5,0,174.1,0,47,0,73,1017.2
21-Apr,2021,4,18,13,18.7,7.3,24.4,1.5,145,0,11.5,0,48,0,229.7,0,59,0,68,1016.7
21-May,2021,5,18,,,,,,,0,,0,,0,,0,,0,,
