date,prefecture_num,year,month, pm25, pm10, no2, so2, co
2019/10/22,2,2019,10,42,12,6, ,1
2019/10/23,2,2019,10,45,15,5, ,1
2019/10/24,2,2019,10,43,13,3, ,1
2019/10/25,2,2019,10,43,7,4, , 
2019/10/26,2,2019,10,33,10,2, ,1
2019/10/27,2,2019,10,30,9,4, ,1
2019/10/28,2,2019,10,26,12,11, ,3
2019/10/29,2,2019,10,34,16,3, ,3
2019/10/30,2,2019,10,48,15,4, ,4
2019/10/31,2,2019,10,46,13,3, ,4
2019/11/1,2,2019,11,45,8,3, ,4
2019/11/2,2,2019,11,28,10,4, ,3
2019/11/3,2,2019,11,33,8,4, ,4
2019/11/4,2,2019,11,29,7,4, ,3
2019/11/5,2,2019,11,26,12,4, ,2
2019/11/6,2,2019,11,37,9,7, ,2
2019/11/7,2,2019,11,38,10,3, , 
2019/11/8,2,2019,11,29,10,5, ,1
2019/11/9,2,2019,11,35,10,4, ,3
2019/11/10,2,2019,11,33,14,14, ,2
2019/11/11,2,2019,11,37,11,5, ,1
2019/11/12,2,2019,11,45,12,10, ,2
2019/11/13,2,2019,11,35,10,2, ,1
2019/11/14,2,2019,11,35,11,2, ,1
2019/11/15,2,2019,11,35,12,2, , 
2019/11/16,2,2019,11,37,14,3, ,1
2019/11/17,2,2019,11,39,15,13, ,3
2019/11/18,2,2019,11,36,19,4, ,1
2019/11/19,2,2019,11,44,11,3, ,1
2019/11/20,2,2019,11,27,13,6, ,2
2019/11/21,2,2019,11,31,16,11, ,2
2019/11/22,2,2019,11,45,13,15, ,2
2019/11/23,2,2019,11,46,14,14, ,2
2019/11/24,2,2019,11,46,11,4, ,1
2019/11/25,2,2019,11,35,13,10, ,2
2019/11/26,2,2019,11,35,11,11, ,2
2019/11/27,2,2019,11,41,10,5, ,1
2019/11/28,2,2019,11,26,9,7, ,1
2019/11/29,2,2019,11,28,11,8, ,1
2019/11/30,2,2019,11,29,8,9, ,2
2019/12/1,2,2019,12,25,11,11, ,2
2019/12/2,2,2019,12,24,12,3, ,1
2019/12/3,2,2019,12,39,14,2, ,1
2019/12/4,2,2019,12,41,11,7, ,1
2019/12/5,2,2019,12,35,11,7, ,2
2019/12/6,2,2019,12,33,12,8, ,1
2019/12/7,2,2019,12,34,14,3, , 
2019/12/8,2,2019,12,43,11,13, ,2
2019/12/9,2,2019,12,39,13,20, ,3
2019/12/10,2,2019,12,39,20,27, ,3
2019/12/11,2,2019,12,64,17,10, ,1
2019/12/12,2,2019,12,50,12,10, ,1
2019/12/13,2,2019,12,46,10,7, ,2
2019/12/14,2,2019,12,35,11,3, ,2
2019/12/15,2,2019,12,39,11,4, ,2
2019/12/16,2,2019,12,36,11,16, ,3
2019/12/17,2,2019,12,34,12,2, ,1
2019/12/18,2,2019,12,46,12,7,1,2
2019/12/19,2,2019,12,35,12,4, ,2
2019/12/20,2,2019,12,28,10,5, ,2
2019/12/21,2,2019,12,27,16,6, ,2
2019/12/22,2,2019,12,52,16,6, ,2
2019/12/23,2,2019,12,51,11,2, ,1
2019/12/24,2,2019,12,41,10,6, ,2
2019/12/25,2,2019,12,25,10,12, ,3
2019/12/26,2,2019,12,39,9,8, ,2
2019/12/27,2,2019,12,32,9,4, ,1
2019/12/28,2,2019,12,24,13,15, , 
2019/12/29,2,2019,12,38, , , , 
2019/7/1,2,2019,7,30,10,4, , 
2019/7/2,2,2019,7,46,9,4, ,1
2019/7/3,2,2019,7,39,10,4, , 
2019/7/4,2,2019,7,45,13,4, ,1
2019/7/5,2,2019,7,49,9,2, , 
2019/7/6,2,2019,7,38,8,1, , 
2019/7/7,2,2019,7,39,11,3, , 
2019/7/8,2,2019,7,51,10,4, , 
2019/7/9,2,2019,7,40,10,3, , 
2019/7/10,2,2019,7,38,17,6, ,1
2019/7/11,2,2019,7,56,12,7, ,1
2019/7/12,2,2019,7,40,10,4, , 
2019/7/13,2,2019,7,30,11,3, , 
2019/7/14,2,2019,7,28,5,1, , 
2019/7/15,2,2019,7,18,9,3, , 
2019/7/16,2,2019,7,29,12,5, , 
2019/7/17,2,2019,7,36,17,7, ,1
2019/7/18,2,2019,7,52,14,7, , 
2019/7/19,2,2019,7,40,13,4, , 
2019/7/20,2,2019,7,40,7,2, , 
2019/7/21,2,2019,7,25,10,3, , 
2019/7/22,2,2019,7,31,16,5, , 
2019/7/23,2,2019,7,45,19,9, , 
2019/7/24,2,2019,7,54,23,7, ,1
