date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2019/4/3,8,2019,4,36,10,48,9,1
2019/4/4,8,2019,4,46,17,51,10,2
2019/4/5,8,2019,4,55,12,48,4, 
2019/4/6,8,2019,4,42,15,47,4, 
2019/4/7,8,2019,4,42,11,41,4,1
2019/4/8,8,2019,4,21,8,39,4, 
2019/4/9,8,2019,4,29,8,33,7,1
2019/4/10,8,2019,4,19,3,38,3,1
2019/4/11,8,2019,4,30,8,41,5,1
2019/4/12,8,2019,4,34,10,46,4,1
2019/4/13,8,2019,4,41,13,50,5,2
2019/4/14,8,2019,4,47,9,49,3, 
2019/4/15,8,2019,4,29,8,56,6,2
2019/4/16,8,2019,4,45,14,55,8,2
2019/4/17,8,2019,4,38,10,49,5,1
2019/4/18,8,2019,4,42,15,65,6,1
2019/4/19,8,2019,4,47,12,43,4,1
2019/4/20,8,2019,4,32,11,41,6,2
2019/4/21,8,2019,4,39,18,56,5,2
2019/4/22,8,2019,4,56,14,53,5,1
2019/4/23,8,2019,4,48,20,34,6,1
2019/4/24,8,2019,4,51,11,36,4, 
2019/4/25,8,2019,4,45,6,38,5,1
2019/4/26,8,2019,4,11,5,35,5, 
2019/4/27,8,2019,4,24,5,40,3, 
2019/4/28,8,2019,4,40,6,43,3, 
2019/4/29,8,2019,4,37,8,40,3, 
2019/4/30,8,2019,4,24,5,37,3,1
2019/5/1,8,2019,5,42,9,39,5,2
2019/5/2,8,2019,5,34,11,51,3,1
2019/5/3,8,2019,5,45,13,53,3,2
2019/5/4,8,2019,5,39,14,52,3,2
2019/5/5,8,2019,5,44,10,47,2,2
2019/5/6,8,2019,5,51,6,46,4,2
2019/5/7,8,2019,5,35,9,51,6,2
2019/5/8,8,2019,5,61,11,49,7,1
2019/5/9,8,2019,5,45,16,71,6,2
2019/5/10,8,2019,5,60,18,78,6,2
2019/5/11,8,2019,5,54,7,38,2,2
2019/5/12,8,2019,5,26,7,38,4,2
2019/5/13,8,2019,5,34,11,43,7,2
2019/5/14,8,2019,5,40,14,46,6,1
2019/5/15,8,2019,5,40,11,45,6,1
2019/5/16,8,2019,5,39,9,42,4,1
2019/5/17,8,2019,5,55,8,44,3,1
2019/5/18,8,2019,5,38,10,47,3,1
2019/5/19,8,2019,5,42,12,44,3, 
2019/5/20,8,2019,5,41,9,38,2, 
2019/5/21,8,2019,5,25,12,43,5,2
2019/5/22,8,2019,5,45,11,47,5,2
2019/5/23,8,2019,5,53,16,96,6,2
2019/5/24,8,2019,5,81,27,110,8,3
2019/5/25,8,2019,5,85,27,87,6,2
2019/5/26,8,2019,5,90,35,95,9,3
2019/5/27,8,2019,5,87,22,48,10,2
2019/5/28,8,2019,5,70,6,41,4,1
2019/5/29,8,2019,5,22,8,45,4,2
2019/5/30,8,2019,5,51,10,42,5,1
2019/5/31,8,2019,5,37,13,60,3,1
2019/6/1,8,2019,6,45,18,49,5,2
2019/6/2,8,2019,6,54,17,44,4, 
2019/6/3,8,2019,6,67,10,45,3,1
2019/6/4,8,2019,6,61,9,57,5,1
2019/6/5,8,2019,6,49,15,66,6,2
2019/6/6,8,2019,6,60,18,47,8,2
2019/6/7,8,2019,6,51,11,43,4,1
2019/6/8,8,2019,6,39,7,37,2,1
2019/6/9,8,2019,6,26,6,32,3, 
2019/6/10,8,2019,6,14,5,35,1, 
2019/6/11,8,2019,6,29,6,38,3,1
2019/6/12,8,2019,6,28,11,52,5,2
2019/6/13,8,2019,6,54,9,40,4,1
2019/6/14,8,2019,6,64,5,39,2,1
2019/6/15,8,2019,6,21,5,38,2,1
2019/6/16,8,2019,6,44,6,40,3,1
2019/6/17,8,2019,6,44,10,37,4,1
2019/6/18,8,2019,6,38,16,72,5,2
2019/6/19,8,2019,6,56,16,47,4,2
2019/6/20,8,2019,6,52,16,31,3,1
2019/6/21,8,2019,6,50,9,37,2, 
2019/6/22,8,2019,6,26,7,27,2,1
2019/6/23,8,2019,6,26,8,24,4,1
2019/6/24,8,2019,6,23,12,43,5,1
2019/6/25,8,2019,6,49,16,64,4,2
2019/6/26,8,2019,6,57,19,42,7,1
2019/6/27,8,2019,6,71,9,37,3,1
2019/6/28,8,2019,6,35,6,33,3, 
2019/6/29,8,2019,6,19,6,23,5,1
2019/6/30,8,2019,6,24,6,26,6,1
2019/1/1,8,2019,1,32,3,30,2,1
2019/1/2,8,2019,1,30,3,31,6,1
2019/1/3,8,2019,1,28,10,29,11,1
2019/1/4,8,2019,1,35,7,34,5,1
2019/1/5,8,2019,1,43,6,32,7,1
2019/1/6,8,2019,1,28,8,27,10,1
2019/1/7,8,2019,1,31,9,27,12,1
2019/1/8,8,2019,1,52,4,31,10, 
2019/1/9,8,2019,1,21,14,21,16,1
2019/1/10,8,2019,1,51,10,32,11,1
2019/1/11,8,2019,1,54,9,28,10,1
2019/1/12,8,2019,1,38,7,31,5,1
2019/1/13,8,2019,1,29,6,30,8,1
2019/1/14,8,2019,1,32,12,19,17,1
2019/1/15,8,2019,1,46,17,31,11,1
2019/1/16,8,2019,1,55,13,31,15,2
2019/1/17,8,2019,1,53,5,30,9,1
2019/1/18,8,2019,1,35,7,33,9,1
2019/1/19,8,2019,1,34,20,39,7,2
2019/1/20,8,2019,1,62,5,31,7,1
2019/1/21,8,2019,1,26,6,31,7,1
2019/1/22,8,2019,1,28,12,29,15,2
2019/1/23,8,2019,1,49,5,29,6,1
2019/1/24,8,2019,1,29,7,29,12,1
2019/1/25,8,2019,1,33,4,30,3, 
2019/1/26,8,2019,1,27,5,33,5,1
2019/1/27,8,2019,1,29,10,23,19,2
2019/1/28,8,2019,1,43,10,33,5,1
2019/1/29,8,2019,1,39,19,32,18,1
2019/1/30,8,2019,1,62,21,31,13,1
2019/1/31,8,2019,1,68,7,29,8,1
2019/2/1,8,2019,2,30,9,31,15,1
2019/2/2,8,2019,2,45,14,35,10,2
2019/2/3,8,2019,2,54,14,36,7,1
2019/2/4,8,2019,2,49,17,34,6,1
2019/2/5,8,2019,2,51,23,20,12, 
2019/2/6,8,2019,2,61,20,17,19,3
2019/2/7,8,2019,2,54,6,30,4, 
2019/2/8,8,2019,2,25,9,28,4, 
2019/2/9,8,2019,2,35,7,33,4, 
2019/2/10,8,2019,2,27,9,30,5,1
2019/2/11,8,2019,2,40,8,34,5,1
2019/2/12,8,2019,2,39,9,32,5,1
2019/2/13,8,2019,2,31,7,35,2,1
2019/2/14,8,2019,2,35,7,32,7,1
2019/2/15,8,2019,2,35,11,37,6,1
2019/2/16,8,2019,2,42,12,39,4,1
2019/2/17,8,2019,2,50,13,38,12,1
2019/2/18,8,2019,2,48,22,26,18,2
2019/2/19,8,2019,2,64,19,33,11,1
2019/2/20,8,2019,2,54,6,36,4, 
2019/2/21,8,2019,2,31,10,39,8,1
2019/2/22,8,2019,2,44,17,39,3, 
2019/2/23,8,2019,2,50,20,42,9,1
2019/2/24,8,2019,2,66,20,38,9,2
2019/2/25,8,2019,2,61,22,42,6,1
2019/2/26,8,2019,2,60,17,26,7,1
2019/2/27,8,2019,2,52,17,22,7, 
2019/2/28,8,2019,2,53,15,37,7,1
2019/3/1,8,2019,3,48,22,39,7,1
2019/3/2,8,2019,3,59,28,31,4,1
2019/3/3,8,2019,3,75,10,34,4, 
2019/3/4,8,2019,3,35,21,44,7,1
2019/3/5,8,2019,3,65,23,34,12,2
2019/3/6,8,2019,3,68,16,40,7, 
2019/3/7,8,2019,3,39,10,38,4, 
2019/3/8,8,2019,3,34,12,41,8,2
2019/3/9,8,2019,3,48,14,42,6,1
2019/3/10,8,2019,3,46,7,39,3, 
2019/3/11,8,2019,3,15,12,49,8,1
2019/3/12,8,2019,3,49,10,43,5,1
2019/3/13,8,2019,3,49,10,38,4,1
2019/3/14,8,2019,3,36,11,44,6,1
2019/3/15,8,2019,3,40,12,40,5,1
2019/3/16,8,2019,3,32,13,44,5,1
2019/3/17,8,2019,3,41,9,42,8, 
2019/3/18,8,2019,3,37,13,46,9,1
2019/3/19,8,2019,3,47,14,51,7,2
2019/3/20,8,2019,3,46,12,42,7,1
2019/3/21,8,2019,3,45,7,45,4, 
2019/3/22,8,2019,3,40,6,34,4,1
2019/3/23,8,2019,3,24,7,40,4,1
2019/3/24,8,2019,3,33,12,42,5,1
2019/3/25,8,2019,3,45,15,49,7,1
2019/3/26,8,2019,3,51,17,56,7,2
2019/3/27,8,2019,3,56,11,46,5,1
