date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2020/1/5,30,2020,1,33,10,26,10,2
2020/1/6,30,2020,1,38,16,31,14,1
2020/1/7,30,2020,1,51,23,33,5,6
2020/1/8,30,2020,1,50,12,36,6,5
2020/1/9,30,2020,1,34,13,34,7,1
2020/1/10,30,2020,1,43,10,28,9,2
2020/1/11,30,2020,1,36,17,28,7,1
2020/1/12,30,2020,1,53,19,34,4,5
2020/1/13,30,2020,1,57,13,31,8,1
2020/1/14,30,2020,1,47,14,31,7,8
2020/1/15,30,2020,1,44,10,21,13,1
2020/1/16,30,2020,1,37,10,28,7,1
2020/1/17,30,2020,1,36,8,35,5,1
2020/1/18,30,2020,1,25,12,33,8,3
2020/1/19,30,2020,1,38,26,39,10,11
2020/1/20,30,2020,1,73,19,34,7,3
2020/1/21,30,2020,1,56,15,21,17,2
2020/1/22,30,2020,1,63,24,17,18,1
2020/1/23,30,2020,1,58,18,33,14,1
2020/1/24,30,2020,1,49,13,32,6,1
2020/1/25,30,2020,1,43,11,27,7,1
2020/1/26,30,2020,1,36,7,24,8,1
2020/1/27,30,2020,1,23,13,19,15,3
2020/1/28,30,2020,1,39,11,31,8,3
2020/1/29,30,2020,1,36,9,31,7,4
2020/1/30,30,2020,1,28,9,32,4,2
2020/1/31,30,2020,1,28,10,33,4,1
2020/2/1,30,2020,2,31,17,39,6,3
2020/2/2,30,2020,2,54,25,39,9,6
2020/2/3,30,2020,2,74,14,34,9,1
2020/2/4,30,2020,2,52,19,37,9,6
2020/2/5,30,2020,2,60,7,29,4,1
2020/2/6,30,2020,2,21,9,27,12,1
2020/2/7,30,2020,2,33,20,38,8,5
2020/2/8,30,2020,2,62,9,33,2,1
2020/2/9,30,2020,2,28,14,35,8,6
2020/2/10,30,2020,2,46,13,36,6,2
2020/2/11,30,2020,2,49,14,35,11,4
2020/2/12,30,2020,2,42,25,33,12,4
2020/2/13,30,2020,2,53,20,11,16,1
2020/2/14,30,2020,2,54,18,16,12,1
2020/2/15,30,2020,2,52,19,31,9,2
2020/2/16,30,2020,2,47,27,33,3,21
2020/2/17,30,2020,2,66,21,31,3,18
