表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021年3月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A1301,,A130101,,A130102,,A1302,,A130201,,A130202,,A1303,,A130301,,A130302,,A1304,,A130401,,A130402,,A1305,,A130501,,A130502,,A1306,,A130601,,A130602,
調査年 コード,調査年,地域 コード,地域,/項目,A1301_15歳未満人口【人】,注釈,A130101_15歳未満人口（男）【人】,注釈,A130102_15歳未満人口（女）【人】,注釈,A1302_15～64歳人口【人】,注釈,A130201_15～64歳人口（男）【人】,注釈,A130202_15～64歳人口（女）【人】,注釈,A1303_65歳以上人口【人】,注釈,A130301_65歳以上人口（男）【人】,注釈,A130302_65歳以上人口（女）【人】,注釈,A1304_15歳未満人口割合【％】,注釈,A130401_15歳未満人口割合（男）【％】,注釈,A130402_15歳未満人口割合（女）【％】,注釈,A1305_15～64歳人口割合【％】,注釈,A130501_15～64歳人口割合（男）【％】,注釈,A130502_15～64歳人口割合（女）【％】,注釈,A1306_65歳以上人口割合【％】,注釈,A130601_65歳以上人口割合（男）【％】,注釈,A130602_65歳以上人口割合（女）【％】,注釈
2018100000,2018年度,7000,福島県,,"216,000",,"111,000",,"105,000",,"1,072,000",,"559,000",,"513,000",,"576,000",,"253,000",,"323,000",,11.6,,12,,11.2,,57.5,,60.6,,54.5,,30.9,,27.5,,34.3,
2018100000,2018年度,8000,茨城県,,"349,000",,"179,000",,"170,000",,"1,696,000",,"881,000",,"815,000",,"833,000",,"376,000",,"457,000",,12.1,,12.5,,11.8,,58.9,,61.4,,56.5,,28.9,,26.2,,31.7,
2018100000,2018年度,9000,栃木県,,"240,000",,"123,000",,"117,000",,"1,160,000",,"602,000",,"558,000",,"546,000",,"244,000",,"302,000",,12.3,,12.7,,11.9,,59.6,,62.1,,57.1,,28,,25.1,,30.9,
2018100000,2018年度,10000,群馬県,,"237,000",,"121,000",,"115,000",,"1,141,000",,"589,000",,"552,000",,"574,000",,"255,000",,"320,000",,12.1,,12.6,,11.7,,58.5,,61,,55.9,,29.4,,26.4,,32.4,
2018100000,2018年度,11000,埼玉県,,"891,000",,"456,000",,"434,000",,"4,505,000",,"2,326,000",,"2,178,000",,"1,934,000",,"875,000",,"1,059,000",,12.2,,12.5,,11.8,,61.5,,63.6,,59.3,,26.4,,23.9,,28.8,
2018100000,2018年度,12000,千葉県,,"748,000",,"383,000",,"364,000",,"3,785,000",,"1,943,000",,"1,842,000",,"1,721,000",,"778,000",,"944,000",,12,,12.3,,11.6,,60.5,,62.6,,58.5,,27.5,,25.1,,30,
2018100000,2018年度,13000,東京都,,"1,550,000",,"792,000",,"758,000",,"9,084,000",,"4,630,000",,"4,453,000",,"3,189,000",,"1,380,000",,"1,808,000",,11.2,,11.6,,10.8,,65.7,,68.1,,63.4,,23.1,,20.3,,25.8,
2018100000,2018年度,14000,神奈川県,,"1,111,000",,"569,000",,"542,000",,"5,761,000",,"2,979,000",,"2,782,000",,"2,305,000",,"1,028,000",,"1,277,000",,12.1,,12.4,,11.8,,62.8,,65.1,,60.5,,25.1,,22.5,,27.7,
2018100000,2018年度,15000,新潟県,,"260,000",,"134,000",,"126,000",,"1,270,000",,"647,000",,"623,000",,"716,000",,"308,000",,"408,000",,11.6,,12.3,,10.9,,56.5,,59.4,,53.8,,31.9,,28.3,,35.3,
2018100000,2018年度,16000,富山県,,"122,000",,"63,000",,"59,000",,"593,000",,"304,000",,"289,000",,"336,000",,"143,000",,"193,000",,11.6,,12.3,,10.9,,56.4,,59.6,,53.4,,32,,28.1,,35.7,
