date, pm25, pm10, o3, no2, so2
2020/5/31, 59, 13, 36, 4, 1
2020/6/1, 43, 17, 49, 4, 
2020/6/2, 58, 16, 39, 6, 1
2020/6/3, 53, 14, 35, 6, 
2020/6/4, 47, 12, 40, 6, 1
2020/6/5, 45, 21, 35, 6, 1
2020/6/6, 67, 25, 43, 4, 1
2020/6/7, 74, 29, 48, 3, 3
2020/6/8, 80, 23, 44, 5, 1
2020/6/9, 70, 13, 33, 3, 2
2020/6/10, 41, 15, 21, 1, 
2020/6/11, 27, 15, 30, 4, 
2020/6/12, 32, 26, 13, 1, 
2020/6/13, 38, 22, 32, 1, 
2020/6/14, 43, 16, 39, 6, 1
2020/6/15, 49, 16, 49, 6, 1
2020/6/16, 58, 19, 47, 10, 1
2020/6/17, 61, 33, 39, 2, 
2020/6/18, 52, 12, 41, 4, 
2020/6/19, 38, 13, 38, 3, 1
2020/6/20, 46, 18, 29, 4, 1
2020/6/21, 56, 17, 39, 5, 1
2020/6/22, 56, 21, 55, 6, 2
2020/6/23, 69, 22, 40, 4, 3
2020/6/24, 67, 21, 28, 1, 1
2020/6/25, 50, 18, 44, 5, 1
2020/6/26, 47, 19, 25, 1, 
2020/6/27, 39, 17, 44, 4, 1
2020/6/28, 48, 26, 41, 4, 1
2020/6/29, 67, 21, 44, 3, 
2020/6/30, 42, 13, 44, 5, 1
2020/1/1, 28, 14, 31, 6, 1
2020/1/2, 45, 23, 37, 8, 1
2020/1/3, 68, 16, 34, 8, 1
2020/1/4, 54, 14, 29, 7, 1
2020/1/5, 41, 15, 24, 14, 7
2020/1/6, 48, 21, 32, 5, 3
2020/1/7, 42, 20, 32, 4, 1
2020/1/8, 48, 21, 33, 9, 1
2020/1/9, 64, 21, 33, 11, 1
2020/1/10, 61, 13, 30, 9, 1
2020/1/11, 47, 16, 33, 5, 1
2020/1/12, 45, 15, 31, 6, 1
2020/1/13, 46, 17, 30, 10, 1
2020/1/14, 54, 16, 31, 12, 1
2020/1/15, 56, 18, 25, 12, 
2020/1/16, 57, 14, 33, 10, 1
2020/1/17, 44, 10, 28, 11, 1
2020/1/18, 30, 21, 33, 8, 1
2020/1/19, 69, 36, 37, 11, 1
2020/1/20, 100, 22, 34, 13, 
2020/1/21, 63, 23, 28, 17, 1
2020/1/22, 64, 14, 33, 12, 1
2020/1/23, 37, 14, 30, 7, 
2020/1/24, 43, 14, 35, 7, 1
2020/1/25, 50, 7, 33, 2, 2
2020/1/26, 27, 6, 29, 6, 5
2020/1/27, 24, 7, 30, 10, 
2020/1/28, 19, 9, 26, 9, 1
2020/1/29, 33, 9, 30, 7, 
2020/1/30, 34, 8, 29, 10, 
2020/1/31, 28, 15, 38, 9, 1
2020/2/1, 52, 30, 43, 7, 1
2020/2/2, 91, 23, 39, 12, 1
2020/2/3, 72, 17, 37, 10, 
2020/2/4, 63, 20, 35, 11, 
2020/2/5, 60, 10, 32, 9, 
2020/2/6, 41, 11, 26, 9, 
2020/2/7, 38, 25, 35, 10, 
2020/2/8, 74, 19, 34, 6, 
2020/2/9, 66, 38, 43, 14, 1
2020/2/10, 101, 48, 44, 10, 
2020/2/11, 134, 31, 36, 6, 2
2020/2/12, 70, 13, 34, 11, 
2020/2/13, 49, 13, 35, 12, 1
2020/2/14, 44, 18, 24, 10, 3
2020/2/15, 56, 11, 32, 3, 
2020/2/16, 38, 8, 31, 5, 1
2020/2/17, 29, 11, 30, 9, 
2020/2/18, 42, 14, 36, 10, 
2020/2/19, 46, 12, 38, 9, 
2020/2/20, 48, 17, 37, 9, 8
2020/2/21, 55, 33, 44, 8, 1
2020/2/22, 83, 19, 38, 6, 2
2020/2/23, 55, 12, 36, 12, 1
2020/2/24, 42, 22, 39, 11, 2
2020/2/25, 48, 11, 34, 6, 
2020/2/26, 41, 11, 31, 6, 
2020/2/27, 38, 10, 29, 8, 4
2020/2/28, 39, , , , 1
2020/3/2, 61, , , , 
2020/3/11, 34, 9, 37, 8, 1
2020/3/12, 39, 11, 32, 11, 1
2020/3/13, 47, 12, 38, 7, 1
2020/3/14, 39, 20, 42, 6, 1
2020/3/15, 58, 12, 37, 5, 
2020/3/16, 38, 12, 41, 8, 1
2020/3/17, 40, 17, 47, 12, 1
2020/3/18, 50, 20, 50, 8, 5
2020/3/19, 56, 10, 37, 6, 
2020/3/20, 31, 11, 44, 7, 
2020/3/21, 38, 24, 53, 8, 1
2020/3/22, 67, 22, 42, 10, 1
2020/3/23, 59, 19, 57, 14, 1
2020/3/24, 61, 20, 51, 9, 5
2020/3/25, 67, 22, 41, 9, 1
2020/3/26, 69, 25, 43, 4, 1
2020/3/27, 53, 13, 44, 6, 
2020/3/28, 43, 8, 46, 1, 
2020/3/29, 36, , , , 
2019/10/1, 57, 20, 16, 4, 2
2019/10/2, 50, 18, 27, 3, 
2019/10/3, 39, 24, 37, 8, 1
2019/10/4, 56, 20, 42, 8, 2
2019/10/5, 59, 18, 36, 3, 1
2019/10/6, 55, 17, 35, 6, 4
2019/10/7, 56, 16, 42, 8, 1
2019/10/8, 42, 20, 47, 10, 1
2019/10/9, 62, 24, 50, 10, 6
2019/10/10, 72, 23, 41, 9, 3
2019/10/11, 69, , , , 
2019/10/15, 43, 14, 36, 8, 2
2019/10/16, 45, 21, 31, 10, 1
2019/10/17, 65, 16, 25, 8, 3
2019/10/18, 49, 9, 32, 7, 
2019/10/19, 32, 8, 33, 4, 
2019/10/20, 30, 15, 33, 10, 3
2019/10/21, 48, 19, 36, 7, 2
2019/10/22, 54, 22, 26, 8, 2
2019/10/23, 65, 10, 31, 9, 4
2019/10/24, 35, 11, 34, 8, 1
2019/10/25, 37, 18, 39, 8, 1
2019/10/26, 51, 13, 38, 6, 1
2019/10/27, 48, 12, 42, 9, 
2019/10/28, 42, 12, 40, 9, 1
2019/10/29, 47, 26, 36, 9, 1
2019/10/30, 60, 11, 38, 11, 1
2019/10/31, 35, 26, 50, 11, 1
2019/11/1, 64, 41, 47, 8, 11
2019/11/2, 98, 41, 36, 9, 3
2019/11/3, 91, 18, 31, 8, 
2019/11/4, 54, 10, 31, 10, 
2019/11/5, 38, 12, 35, 11, 1
2019/11/6, 39, 19, 37, 13, 1
2019/11/7, 58, 17, 44, 12, 
2019/11/8, 57, 22, 47, 12, 1
2019/11/9, 61, 14, 42, 7, 1
2019/11/10, 48, 24, 46, 9, 1
2019/11/11, 62, 18, 47, 11, 
2019/11/12, 60, 19, 37, 9, 2
2019/11/13, 54, 13, 32, 7, 1
2019/11/14, 40, 11, 30, 11, 1
2019/11/15, 41, 13, 34, 11, 2
2019/11/16, 47, 20, 37, 7, 5
2019/11/17, 57, 24, 38, 7, 5
2019/11/18, 57, 18, 28, 7, 
2019/11/19, 44, 10, 30, 8, 1
2019/11/20, 38, 14, 28, 9, 10
2019/11/21, 43, 19, 23, 12, 12
2019/11/22, 57, 24, 24, 10, 7
2019/11/23, 65, 20, 28, 7, 3
2019/11/24, 53, 20, 27, 10, 
2019/11/25, 52, 8, 23, 7, 
2019/11/26, 34, 12, 24, 12, 1
2019/11/27, 45, 8, 27, 7, 
2019/11/28, 28, 8, 29, 9, 1
2019/11/29, 28, 16, 31, 10, 17
2019/11/30, 50, 21, 33, 7, 10
2019/12/1, 53, 14, 31, 8, 1
2019/12/2, 40, 13, 29, 9, 
2019/12/3, 43, 11, 32, 9, 1
2019/12/4, 43, 15, 30, 11, 
2019/12/5, 54, 12, 31, 8, 1
2019/12/6, 42, 10, 30, 9, 1
2019/12/7, 36, 14, 30, 8, 1
2019/12/8, 52, 20, 31, 11, 1
2019/12/9, 59, 19, 33, 12, 
2019/12/10, 55, 24, 37, 18, 2
2019/12/11, 70, 17, 32, 9, 1
2019/12/12, 49, 9, 26, 12, 1
2019/12/13, 27, 15, 35, 12, 
2019/12/14, 49, 11, 33, 5, 1
2019/12/15, 42, 19, 27, 7, 3
2019/12/16, 55, 31, 30, 14, 1
2019/12/17, 59, 22, 33, 13, 1
2019/12/18, 64, 14, 30, 9, 1
2019/12/19, 46, 13, 28, 10, 1
2019/12/20, 45, 18, 26, 10, 1
2019/12/21, 62, 9, 31, 5, 1
2019/12/22, 33, 9, 31, 10, 1
2019/12/23, 40, 33, 28, 15, 1
2019/12/24, 86, 31, 19, 18, 
2019/12/25, 75, 18, 26, 11, 
2019/12/26, 49, 11, 32, 8, 
2019/12/27, 38, 13, 30, 10, 1
2019/12/28, 48, 19, 24, 11, 2
2019/12/29, 62, , , , 
2019/7/1, 43, 17, 48, 11, 1
2019/7/2, 48, 11, 33, 9, 1
2019/7/3, 31, 15, 38, 9, 2
2019/7/4, 39, 35, 40, 14, 2
2019/7/5, 84, 38, 58, 9, 2
2019/7/6, 86, 31, 45, 4, 3
2019/7/7, 77, 33, 38, 5, 1
2019/7/8, 80, 32, 35, 7, 1
2019/7/9, 72, 23, 28, 6, 3
2019/7/10, 52, 19, 36, 3, 
2019/7/11, 40, 14, 38, 5, 2
2019/7/12, 41, 15, 33, 8, 1
2019/7/13, 29, 14, 31, 4, 
2019/7/14, 43, 18, 43, 6, 2
2019/7/15, 47, 28, 39, 7, 11
2019/7/16, 73, 35, 26, 6, 3
2019/7/17, 76, 23, 17, 4, 2
2019/7/18, 48, 12, 12, 3, 1
2019/7/19, 32, 22, 23, 2, 2
2019/7/20, 40, 16, 32, 2, 
2019/7/21, 34, 23, 18, 2, 
2019/7/22, 44, 14, 11, 3, 1
2019/7/23, 40, 13, 15, 3, 1
2019/7/24, 30, 12, 13, 3, 
2019/7/25, 27, 12, 13, 4, 
2019/7/26, 28, 13, 16, 3, 1
2019/7/27, 33, 17, 14, 2, 6
2019/7/28, 44, 17, 13, 3, 3
