date, pm25, pm10, o3, no2, so2
2019/6/10, 14, 5, 35, 1, 
2019/6/11, 29, 6, 38, 3, 1
2019/6/12, 28, 11, 52, 5, 2
2019/6/13, 54, 9, 40, 4, 1
2019/6/14, 64, 5, 39, 2, 1
2019/6/15, 21, 5, 38, 2, 1
2019/6/16, 44, 6, 40, 3, 1
2019/6/17, 44, 10, 37, 4, 1
2019/6/18, 38, 16, 72, 5, 2
2019/6/19, 56, 16, 47, 4, 2
2019/6/20, 52, 16, 31, 3, 1
2019/6/21, 50, 9, 37, 2, 
2019/6/22, 26, 7, 27, 2, 1
2019/6/23, 26, 8, 24, 4, 1
2019/6/24, 23, 12, 43, 5, 1
2019/6/25, 49, 16, 64, 4, 2
2019/6/26, 57, 19, 42, 7, 1
2019/6/27, 71, 9, 37, 3, 1
2019/6/28, 35, 6, 33, 3, 
2019/6/29, 19, 6, 23, 5, 1
2019/6/30, 24, 6, 26, 6, 1
2019/1/1, 32, 3, 30, 2, 1
2019/1/2, 30, 3, 31, 6, 1
2019/1/3, 28, 10, 29, 11, 1
2019/1/4, 35, 7, 34, 5, 1
2019/1/5, 43, 6, 32, 7, 1
2019/1/6, 28, 8, 27, 10, 1
2019/1/7, 31, 9, 27, 12, 1
2019/1/8, 52, 4, 31, 10, 
2019/1/9, 21, 14, 21, 16, 1
2019/1/10, 51, 10, 32, 11, 1
2019/1/11, 54, 9, 28, 10, 1
2019/1/12, 38, 7, 31, 5, 1
2019/1/13, 29, 6, 30, 8, 1
2019/1/14, 32, 12, 19, 17, 1
2019/1/15, 46, 17, 31, 11, 1
2019/1/16, 55, 13, 31, 15, 2
2019/1/17, 53, 5, 30, 9, 1
2019/1/18, 35, 7, 33, 9, 1
2019/1/19, 34, 20, 39, 7, 2
2019/1/20, 62, 5, 31, 7, 1
2019/1/21, 26, 6, 31, 7, 1
2019/1/22, 28, 12, 29, 15, 2
2019/1/23, 49, 5, 29, 6, 1
2019/1/24, 29, 7, 29, 12, 1
2019/1/25, 33, 4, 30, 3, 
2019/1/26, 27, 5, 33, 5, 1
2019/1/27, 29, 10, 23, 19, 2
2019/1/28, 43, 10, 33, 5, 1
2019/1/29, 39, 19, 32, 18, 1
2019/1/30, 62, 21, 31, 13, 1
2019/1/31, 68, 7, 29, 8, 1
2019/2/1, 30, 9, 31, 15, 1
2019/2/2, 45, 14, 35, 10, 2
2019/2/3, 54, 14, 36, 7, 1
2019/2/4, 49, 17, 34, 6, 1
2019/2/5, 51, 23, 20, 12, 
2019/2/6, 61, 20, 17, 19, 3
2019/2/7, 54, 6, 30, 4, 
2019/2/8, 25, 9, 28, 4, 
2019/2/9, 35, 7, 33, 4, 
2019/2/10, 27, 9, 30, 5, 1
2019/2/11, 40, 8, 34, 5, 1
2019/2/12, 39, 9, 32, 5, 1
2019/2/13, 31, 7, 35, 2, 1
2019/2/14, 35, 7, 32, 7, 1
2019/2/15, 35, 11, 37, 6, 1
2019/2/16, 42, 12, 39, 4, 1
2019/2/17, 50, 13, 38, 12, 1
2019/2/18, 48, 22, 26, 18, 2
2019/2/19, 64, 19, 33, 11, 1
2019/2/20, 54, 6, 36, 4, 
2019/2/21, 31, 10, 39, 8, 1
2019/2/22, 44, 17, 39, 3, 
2019/2/23, 50, 20, 42, 9, 1
2019/2/24, 66, 20, 38, 9, 2
2019/2/25, 61, 22, 42, 6, 1
2019/2/26, 60, 17, 26, 7, 1
2019/2/27, 52, 17, 22, 7, 
2019/2/28, 53, 15, 37, 7, 1
2019/3/1, 48, 22, 39, 7, 1
2019/3/2, 59, 28, 31, 4, 1
2019/3/3, 75, 10, 34, 4, 
2019/3/4, 35, 21, 44, 7, 1
2019/3/5, 65, 23, 34, 12, 2
2019/3/6, 68, 16, 40, 7, 
2019/3/7, 39, 10, 38, 4, 
2019/3/8, 34, 12, 41, 8, 2
2019/3/9, 48, 14, 42, 6, 1
2019/3/10, 46, 7, 39, 3, 
2019/3/11, 15, 12, 49, 8, 1
2019/3/12, 49, 10, 43, 5, 1
2019/3/13, 49, 10, 38, 4, 1
2019/3/14, 36, 11, 44, 6, 1
2019/3/15, 40, 12, 40, 5, 1
2019/3/16, 32, 13, 44, 5, 1
2019/3/17, 41, 9, 42, 8, 
2019/3/18, 37, 13, 46, 9, 1
2019/3/19, 47, 14, 51, 7, 2
2019/3/20, 46, 12, 42, 7, 1
2019/3/21, 45, 7, 45, 4, 
2019/3/22, 40, 6, 34, 4, 1
2019/3/23, 24, 7, 40, 4, 1
2019/3/24, 33, 12, 42, 5, 1
2019/3/25, 45, 15, 49, 7, 1
2019/3/26, 51, 17, 56, 7, 2
2019/3/27, 56, 11, 46, 5, 1
2019/3/28, 43, 10, 36, 5, 1
2019/3/29, 30, 13, 34, 6, 
2019/3/30, 45, 10, 38, 4, 1
2019/3/31, 38, 5, 42, 4, 1
2018/10/1, 81, 14, 46, 3, 1
2018/10/2, 46, 13, 39, 2, 2
2018/10/3, 30, 11, 36, 3, 1
2018/10/4, 31, 14, 32, 3, 1
2018/10/5, 37, 15, 31, 2, 1
2018/10/6, 52, 11, 31, 1, 1
2018/10/7, 54, 9, 37, 2, 1
2018/10/8, 25, 11, 35, 2, 1
