date, pm25, pm10, o3, no2, so2
2020/2/17, 27, , 30, 1, 
2020/2/18, 32, , 29, 2, 1
2020/2/19, 43, , 39, 2, 
2020/2/20, 34, , 29, 2, 11
2020/2/21, 57, , 41, 1, 3
2020/2/22, 80, , 34, 1, 
2020/2/23, 51, , 29, 2, 1
2020/2/24, 35, , 32, 2, 3
2020/2/25, 37, , 36, 1, 
2020/2/26, 18, , 30, 1, 
2020/2/27, 27, , 20, 1, 3
2020/2/28, 32, , 20, 2, 
2020/2/29, 23, , 20, 2, 
2020/3/1, 21, , 42, 2, 
2020/3/2, 50, , 21, 1, 1
2020/3/3, 36, , 37, 2, 
2020/3/4, 46, 33, 39, 2, 1
2020/3/5, 51, 16, 40, 2, 2
2020/3/6, 72, 13, 22, 2, 1
2020/3/7, 54, 8, 36, 3, 1
2020/3/8, 37, 10, 25, 1, 2
2020/3/9, 41, 4, 39, 2, 1
2020/3/10, 21, 13, 35, 1, 1
2020/3/11, 54, 7, 31, 2, 1
2020/3/12, 33, 8, 34, 2, 1
2020/3/13, 31, 6, 35, 1, 1
2020/3/14, 31, 12, 39, 1, 1
2020/3/15, 48, 7, 34, 1, 1
2020/3/16, 33, 8, 35, 2, 1
2020/3/17, 37, 11, 42, 1, 1
2020/3/18, 42, 14, 46, 1, 
2020/3/19, 54, 7, 35, 1, 
2020/3/20, 33, 8, 39, 1, 1
2020/3/21, 33, 14, 40, 1, 1
2020/3/22, 53, 14, 42, 1, 1
2020/3/23, 57, 13, 45, 5, 
2020/3/24, 55, 12, 45, 4, 5
2020/3/25, 53, 14, 30, 2, 2
2020/3/26, 55, 7, 31, 1, 1
2020/3/27, 31, 4, 37, 1, 
2020/3/28, 18, 7, 35, 1, 
2020/3/29, 30, , , , 
2019/10/1, 35, , 15, 2, 3
2019/10/2, 42, , 20, 1, 
2019/10/3, 26, , 30, 2, 
2019/10/4, 42, , 29, 1, 
2019/10/5, 40, , 26, 1, 1
2019/10/6, 28, , 28, 3, 3
2019/10/7, 47, 14, 35, 1, 1
2019/10/8, 32, 16, 47, 3, 2
2019/10/9, 50, 21, 41, 2, 3
2019/10/10, 55, 24, 39, 2, 1
2019/10/11, 54, 24, 37, , 1
2019/10/12, 47, 19, 31, 1, 1
2019/10/13, 40, 14, 31, 2, 1
2019/10/14, 26, 14, 30, 3, 2
2019/10/15, 26, , 34, 4, 
2019/10/16, 26, 23, 12, 3, 
2019/10/17, 58, 16, 15, 5, 
2019/10/18, 30, 8, 33, 3, 1
2019/10/19, 13, 10, 34, 3, 1
2019/10/20, 21, 14, 30, 5, 2
2019/10/21, 31, 16, 32, 4, 1
2019/10/22, 33, 13, 18, 4, 2
2019/10/23, 44, , 26, 5, 1
2019/10/24, 21, , 34, 1, 1
2019/10/25, 17, , 37, 2, 
2019/10/26, 42, , 37, 2, 2
2019/10/27, 39, , 7, 3, 1
2019/10/28, 31, , 25, 2, 1
2019/10/29, 42, , 28, 2, 1
2019/10/30, 57, , 24, 2, 1
2019/10/31, 36, , 55, 4, 2
2019/11/1, 62, , 30, 5, 11
2019/11/2, 93, , 25, 3, 1
2019/11/3, 74, , 30, 3, 1
2019/11/4, 30, , 30, 3, 1
2019/11/5, 20, , 29, 4, 1
2019/11/6, 34, , 33, 4, 2
2019/11/7, 49, , 34, 5, 1
2019/11/8, 49, , 44, 5, 1
2019/11/9, 54, , 28, 4, 1
2019/11/10, 38, , 37, 4, 
2019/11/11, 51, 19, 35, 4, 
2019/11/12, 50, 18, 30, 4, 1
2019/11/13, 54, 13, 29, 3, 1
2019/11/14, 36, 10, 24, 5, 1
2019/11/15, 30, 11, 25, 3, 
2019/11/16, 36, 18, 21, 4, 2
2019/11/17, 49, 22, 35, 4, 3
2019/11/18, 52, 20, 27, 3, 1
2019/11/19, 45, 10, 31, 3, 
2019/11/20, 30, 9, 23, 6, 1
2019/11/21, 27, 19, 4, 3, 1
2019/11/22, 46, 20, 18, 4, 2
2019/11/23, 41, 22, 12, 2, 1
2019/11/24, 50, 13, 26, 3, 
2019/11/25, 40, 7, 23, 6, 2
2019/11/26, 25, 9, 24, 4, 1
2019/11/27, 25, 6, 24, 4, 1
