date, pm25, pm10, o3, no2, so2
2020/5/17, 43, 20, 36, 7, 1
2020/5/18, 55, 21, 48, 6, 2
2020/5/19, 54, 17, 45, 3, 4
2020/5/20, 52, 8, 36, 4, 2
2020/5/21, 30, 14, 32, 11, 5
2020/5/22, 47, 14, 46, 10, 6
2020/5/23, 44, 16, 41, 8, 5
2020/5/24, 48, 7, 35, 13, 7
2020/5/25, 20, 22, 38, 10, 6
2020/5/26, 59, 22, 61, 5, 2
2020/5/27, 63, 17, 52, 7, 5
2020/5/28, 59, 15, 65, 8, 4
2020/5/29, 57, 21, 55, 11, 9
2020/5/30, 65, 15, 39, 3, 2
2020/5/31, 47, 11, 35, 10, 5
2020/6/1, 38, 18, 58, 11, 7
2020/6/2, 53, 31, 51, 9, 3
2020/6/3, 80, 37, 56, 9, 4
2020/6/4, 92, 36, 52, 11, 3
2020/6/5, 87, 37, 52, 12, 3
2020/6/6, 87, 16, 44, 4, 3
2020/6/7, 48, 20, 51, 10, 4
2020/6/8, 57, 20, 42, 8, 7
2020/6/9, 59, 17, 26, 8, 3
2020/6/10, 40, 25, 14, 8, 2
2020/6/11, 53, 30, 18, 11, 3
2020/6/12, 61, 34, 13, 12, 3
2020/6/13, 64, 29, 14, 7, 4
2020/6/14, 59, 23, 49, 7, 6
2020/6/15, 55, 25, 60, 11, 7
2020/6/16, 66, 18, 45, 10, 6
2020/6/17, 49, 18, 36, 7, 2
2020/6/18, 47, 10, 38, 8, 1
2020/6/19, 21, 16, 41, 3, 2
2020/6/20, 43, 18, 36, 8, 5
2020/6/21, 51, 15, 46, 5, 2
2020/6/22, 49, 17, 72, 7, 3
2020/6/23, 57, 21, 40, 6, 4
2020/6/24, 54, 16, 29, 7, 3
2020/6/25, 44, 32, 17, 8, 9
2020/6/26, 62, 28, 44, 13, 2
2020/6/27, 65, 17, 45, 6, 1
2020/6/28, 45, 20, 44, 6, 5
2020/6/29, 53, 24, 39, 4, 2
2020/6/30, 49, 26, 46, 6, 4
2020/1/1, 31, 12, 30, 5, 2
2020/1/2, 47, 21, 35, 8, 2
2020/1/3, 66, 23, 36, 6, 10
2020/1/4, 66, 9, 32, 3, 1
2020/1/5, 33, 10, 26, 10, 2
2020/1/6, 38, 16, 31, 14, 1
2020/1/7, 51, 23, 33, 5, 6
2020/1/8, 50, 12, 36, 6, 5
2020/1/9, 34, 13, 34, 7, 1
2020/1/10, 43, 10, 28, 9, 2
2020/1/11, 36, 17, 28, 7, 1
2020/1/12, 53, 19, 34, 4, 5
2020/1/13, 57, 13, 31, 8, 1
2020/1/14, 47, 14, 31, 7, 8
2020/1/15, 44, 10, 21, 13, 1
2020/1/16, 37, 10, 28, 7, 1
2020/1/17, 36, 8, 35, 5, 1
2020/1/18, 25, 12, 33, 8, 3
2020/1/19, 38, 26, 39, 10, 11
2020/1/20, 73, 19, 34, 7, 3
2020/1/21, 56, 15, 21, 17, 2
2020/1/22, 63, 24, 17, 18, 1
2020/1/23, 58, 18, 33, 14, 1
2020/1/24, 49, 13, 32, 6, 1
2020/1/25, 43, 11, 27, 7, 1
2020/1/26, 36, 7, 24, 8, 1
2020/1/27, 23, 13, 19, 15, 3
2020/1/28, 39, 11, 31, 8, 3
2020/1/29, 36, 9, 31, 7, 4
2020/1/30, 28, 9, 32, 4, 2
2020/1/31, 28, 10, 33, 4, 1
2020/2/1, 31, 17, 39, 6, 3
2020/2/2, 54, 25, 39, 9, 6
2020/2/3, 74, 14, 34, 9, 1
2020/2/4, 52, 19, 37, 9, 6
2020/2/5, 60, 7, 29, 4, 1
2020/2/6, 21, 9, 27, 12, 1
2020/2/7, 33, 20, 38, 8, 5
2020/2/8, 62, 9, 33, 2, 1
2020/2/9, 28, 14, 35, 8, 6
2020/2/10, 46, 13, 36, 6, 2
2020/2/11, 49, 14, 35, 11, 4
2020/2/12, 42, 25, 33, 12, 4
2020/2/13, 53, 20, 11, 16, 1
2020/2/14, 54, 18, 16, 12, 1
2020/2/15, 52, 19, 31, 9, 2
2020/2/16, 47, 27, 33, 3, 21
2020/2/17, 66, 21, 31, 3, 18
2020/2/18, 61, 13, 33, 9, 3
2020/2/19, 49, 16, 33, 12, 2
2020/2/20, 58, 17, 35, 13, 7
2020/2/21, 57, 21, 38, 9, 2
2020/2/22, 55, 33, 37, 3, 9
2020/2/23, 78, 17, 35, 10, 5
2020/2/24, 55, 22, 37, 15, 3
2020/2/25, 65, 17, 35, 14, 1
2020/2/26, 49, 8, 34, 3, 1
2020/2/27, 28, 9, 30, 7, 2
2020/2/28, 32, 10, 22, 11, 1
2020/2/29, 34, 12, 35, 7, 2
2020/3/1, 40, 16, 38, 7, 5
2020/3/2, 49, 12, 32, 5, 1
2020/3/3, 40, 13, 18, 15, 1
2020/3/4, 38, 15, 40, 4, 4
2020/3/5, 51, 17, 38, 7, 2
2020/3/6, 58, 19, 32, 13, 5
2020/3/7, 56, 12, 33, 5, 1
2020/3/8, 35, 15, 37, 13, 3
2020/3/9, 51, 23, 33, 13, 2
2020/3/10, 55, 20, 41, 5, 18
2020/3/11, 54, 16, 39, 7, 3
2020/3/12, 50, 20, 40, 12, 8
2020/3/13, 58, 14, 37, 7, 3
2020/3/14, 46, 15, 39, 6, 5
2020/3/15, 45, 12, 35, 3, 3
2020/3/16, 41, 14, 41, 10, 4
2020/3/17, 50, 22, 50, 10, 5
2020/3/18, 63, 24, 43, 10, 7
2020/3/19, 66, 19, 37, 6, 10
2020/3/20, 55, 21, 38, 14, 4
2020/3/21, 58, 27, 46, 12, 6
2020/3/22, 69, 20, 41, 5, 4
2020/3/23, 60, 16, 40, 3, 2
2020/3/24, 57, 14, 39, 8, 3
2020/3/25, 53, 22, 42, 16, 8
2020/3/26, 64, 29, 39, 8, 3
2020/3/27, 63, 16, 33, 8, 1
2020/3/28, 38, 6, 37, 2, 1
2020/3/29, 23, , , , 
2019/10/1, 70, 20, 28, 7, 4
2019/10/2, 53, 19, 37, 7, 3
2019/10/3, 47, 20, 39, 6, 6
2019/10/4, 48, 17, 45, 5, 2
2019/10/5, 49, 15, 30, 4, 2
2019/10/6, 42, 18, 42, 9, 9
2019/10/7, 47, 16, 31, 9, 3
2019/10/8, 41, 13, 39, 6, 3
2019/10/9, 40, 21, 66, 12, 4
2019/10/10, 57, 19, 31, 8, 3
2019/10/11, 48, 13, 30, 4, 2
2019/10/12, 22, 13, 30, 2, 2
2019/10/13, 31, 19, 22, 6, 2
2019/10/14, 48, 14, 34, 5, 2
2019/10/15, 37, 14, 39, 8, 2
2019/10/16, 43, 17, 30, 11, 2
2019/10/17, 51, 13, 30, 10, 2
2019/10/18, 37, 15, 23, 8, 2
2019/10/19, 31, 10, 37, 4, 3
2019/10/20, 30, 14, 27, 9, 1
2019/10/21, 34, 11, 36, 4, 2
